time,L1AccX_filtered,L2AccX_filtered,L3AccX_filtered,,,, ,,,,,,
0,0.000874172,0.001723045,0.000959597,,-1.47878E-05,,0,0,0,,0.307232887,0.696762686,1
0.005,0.001118652,0.002447296,0.000571684,,,,0,0,0,,0.026804239,0.060788392,0.087244041
0.01,0.001357605,0.003158546,0.000177567,,,,0,0,0,,,,
0.015,0.001589699,0.003853672,-0.000221143,,,,0,0,0,,,,
0.02,0.001813978,0.004529624,-0.00062303,,,,0,0,0,,,,
0.025,0.002029513,0.005183114,-0.001026769,,,,0,0,0,,,,
0.03,0.002235275,0.005811305,-0.001430831,,,,0,0,0,,,,
0.035,0.002430315,0.0064116,-0.001833519,,,,0,0,0,,,,
0.04,0.002614049,0.006981338,-0.002233588,,,,0,0,0,,,,
0.045,0.002785454,0.00751793,-0.002629483,,,,0,0,0,,,,
0.05,0.002943888,0.008019304,-0.003019641,,,,0,0,0,,,,
0.055,0.00308888,0.008483505,-0.003402736,,,,0,0,0,,,,
0.06,0.00321978,0.008908535,-0.003777277,,,,0,0,0,,,,
0.065,0.00333613,0.0092929,-0.004141903,,,,0,0,0,,,,
0.07,0.003437554,0.009635454,-0.004495209,,,,0.764715085,2.143494072,-1,,,,
0.075,0.003523813,0.009934768,-0.00483604,,,,0.728656787,2.054318859,-1,,,,
0.08,0.003594637,0.010190114,-0.005163101,,,,0.696216565,1.973642154,-1,,,,
0.085,0.003650018,0.010401087,-0.005475086,,,,0.666659393,1.899712135,-1,,,,
0.09,0.003689823,0.010567158,-0.005771002,,,,0.639373048,1.831078437,-1,,,,
0.095,0.003714163,0.010688125,-0.006049822,,,,0.613929361,1.766684228,-1,,,,
0.1,0.003723144,0.010764391,-0.00631055,,,,0.58998731,1.705776908,-1,,,,
0.105,0.003717048,0.01079629,-0.006552201,,,,0.567297606,1.647734856,-1,,,,
0.11,0.003696213,0.010784383,-0.006774063,,,,0.545641964,1.592011005,-1,,,,
0.115,0.003660922,0.010729668,-0.006975367,,,,0.524835746,1.538222716,-1,,,,
0.12,0.003611754,0.010633248,-0.00715544,,,,0.504756382,1.48603699,-1,,,,
